Delegating Wallet Key from Mina,Wallet BP should send rewards to
B62qn71s63yywMUCcFhP4iCata7HpgyrvmGjpKa1D9544vGW6FBZ6a1,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qoRkPZeEekdcQWRYCrCTwcYicVyYRCiU22gggFYUTatWBNHt1Jk7,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qkaYsXdwZ14UoLMtrXAp2Up59uUFZyY4KpD7YbvXaMo3ByceyxD4,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qid58wzxcQARBwdYmAYc3dVLFirx5SRGLdHUqMkQb6hVsRpUzgiu,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qoGbqv395zDfi5Q9yPTxLgvfcLtFwJdmJ7nJ3tLKU2M7CjRY8kCa,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qne8eYsgx4dFc1pBe4efuwamHUuKz7p1Jywyyk5v854eowD2dEMY,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qjdPSYuVpB4uLp9V4Pw36GP4CgqKWeJExjzHAipL8KbrSa16uvNw,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qipFGtaHAJpvGSJdYdVxJw6Fg4SdRK6Ldu51o2rVUGJF4JzgMqna,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qo145pgATYorapx2boXn7AbhhwMTnWK27phLBkYwQJjjpCYXxNUP,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
B62qnAwsnwgn8okBLuEr63egNYFyJqZAhWwpyccbTZfyxMJgyDGcVGx,B62qmyesxfYnG3SY9KET8jmEzK5PTWRZQhTpcfcywkeUJbzWXqqXEbE
